City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,sola,-13.8833,167.55,23.14,71,100,10.84,VU,1691690991
176,urziceni,44.7167,26.6333,25.13,40,96,2.5,RO,1691691176
177,zouerate,22.7187,-12.4521,42.31,11,39,4.76,MR,1691691176
178,villa gesell,-37.2639,-56.973,17.25,77,100,5.86,AR,1691691176
179,wahpeton,46.2652,-96.6059,23.01,60,0,6.69,US,1691691177
180,viedma,-40.8135,-62.9967,18.5,29,100,6.09,AR,1691691134
181,albertina,-22.2008,-46.6158,28.62,29,0,2.04,BR,1691691177
182,richards bay,-28.783,32.0377,17.03,76,0,3.61,ZA,1691691177
183,tiksi,71.6872,128.8694,15.12,50,2,2.7,RU,1691691177
184,al khums,32.6486,14.2619,25.74,63,0,3.73,LY,1691691177
185,hell-ville,-13.4,48.2667,25.24,70,1,3.24,MG,1691691177
186,wailua homesteads,22.0669,-159.378,27.44,79,20,5.66,US,1691691177
187,ghat,24.9647,10.1728,33.45,12,0,4.95,LY,1691691177
188,touros,-5.1989,-35.4608,27.94,64,45,8.38,BR,1691691105
189,igrim,63.1906,64.4162,12.31,73,52,2.29,RU,1691691177
190,battagram,34.6772,73.0233,23.86,81,39,1.82,PK,1691691177
191,zinjibar,13.1287,45.3807,31.21,61,87,1.7,YE,1691691178
192,dong ha,16.8163,107.1003,27.46,68,31,2.22,VN,1691691178
193,tazovsky,67.4667,78.7,9.46,69,12,9.24,RU,1691691178
194,ciudad del carmen,18.6333,-91.8333,34.02,59,0,5.66,MX,1691690884
195,bilajer,40.5681,50.0378,28.9,58,0,2.06,AZ,1691691178
196,bulgan,48.8125,103.5347,12.71,90,12,1.26,MN,1691691178
197,cascais,38.6979,-9.4215,27.92,64,20,9.83,PT,1691691165
198,brigantine,39.4101,-74.3646,25.61,83,99,1.34,US,1691691052
199,zaozersk,69.4005,32.4476,21.0,64,0,3.73,RU,1691691178
200,kuanda,56.3161,116.0806,16.08,96,100,1.49,RU,1691690926
201,flying fish cove,-10.4217,105.6791,23.82,88,100,3.6,CX,1691691178
202,morehead city,34.7229,-76.726,29.45,86,0,6.69,US,1691691178
203,okhotsk,59.3833,143.3,11.64,91,13,2.68,RU,1691691179
204,qaqortoq,60.7167,-46.0333,8.19,73,12,1.91,GL,1691691179
205,cockburn town,21.4612,-71.1419,28.98,81,65,8.04,TC,1691691040
206,alofi,-19.0595,-169.9187,20.94,94,99,1.54,NU,1691691179
207,vernal,40.4555,-109.5287,28.14,28,0,2.57,US,1691691179
208,launceston,-41.45,147.1667,8.22,100,65,2.57,AU,1691691063
209,oranjemund,-28.55,16.4333,18.62,56,12,4.83,NA,1691691179
210,arteche,12.2645,125.4048,26.43,84,100,2.64,PH,1691691179
211,invercargill,-46.4,168.35,0.57,92,100,1.34,NZ,1691691179
212,ypsonas,34.6884,32.9574,27.54,78,0,4.12,CY,1691691179
213,toliara,-23.35,43.6667,20.0,61,5,7.65,MG,1691691179
214,supaul,26.1167,86.6,27.97,83,82,1.94,IN,1691691180
215,tazacorte,28.629,-17.9293,27.54,57,0,8.23,ES,1691691180
216,nouadhibou,20.931,-17.0347,22.99,83,3,9.26,MR,1691691180
217,gadzhiyevo,69.2551,33.3362,20.46,62,0,4.33,RU,1691691180
218,macau,22.2006,113.5461,27.85,89,40,2.06,MO,1691691180
219,baiyin,36.5583,104.2081,21.24,59,65,6.96,CN,1691691180
220,lata,40.1629,-8.3327,27.73,45,17,3.47,PT,1691690969
221,ciudad lazaro cardenas,17.9583,-102.2,31.45,63,98,0.97,MX,1691690962
222,el rosario,24.2556,-107.1828,32.41,56,94,3.78,MX,1691691180
223,changping,40.2186,116.2197,25.8,85,83,0.96,CN,1691691180
